Person Number,Sex,Race,Age,Undergraduate School Name,Undergraduate GPA,Undergraduate Major,Graduate School Name,Graduate GPA,Graduate Major,Activity1,Activity2,Activity3,Activity4,Activity5,Activity6,Activity7,Skill1,Skill2,Skill3,Skill4,Skill5,Is Employed
2614,1,1,24,22,3.4,3,22,3.4,3,6,5,26,22,24,14,0,1,8,15,16,0,0
2615,1,2,33,27,3.3,2,27,3.3,2,2,6,25,27,20,14,0,15,17,7,2,0,0
2616,1,1,25,26,3.1,2,26,3.1,2,3,6,25,14,20,0,0,16,4,15,0,0,0
2617,1,2,23,27,3.2,6,27,3.2,6,4,6,20,18,26,0,0,7,8,4,0,0,0
2618,1,2,25,14,3.4,4,14,3.4,4,5,3,24,22,23,26,0,9,13,8,4,0,0
2619,1,3,32,18,3.3,2,18,3.3,2,1,5,24,15,14,20,0,6,3,1,11,0,0
2620,1,2,28,45,2.7,6,45,2.7,6,6,4,18,20,0,0,0,16,9,0,0,0,0
2621,1,0,36,2,3.6,4,2,3.6,4,3,5,23,27,18,14,25,2,8,6,1,9,0
2622,1,3,28,15,3.5,1,15,3.5,1,2,6,26,21,14,15,19,8,6,10,16,17,0
2623,1,5,32,17,3.3,4,17,3.3,4,5,1,17,26,20,15,0,8,14,6,13,0,0
2624,1,4,33,22,3.2,2,22,3.2,2,4,6,19,25,18,0,0,6,13,11,0,0,0
2625,1,5,27,6,3.6,5,6,3.6,5,4,6,15,25,24,19,26,9,1,16,5,10,0
2626,1,2,33,30,3.1,4,30,3.1,4,4,6,14,21,0,0,0,2,9,0,0,0,0
2627,1,4,37,20,3.3,3,20,3.3,3,1,4,21,25,26,14,0,8,5,15,12,0,0
2628,1,2,39,30,3.1,5,30,3.1,5,4,5,21,26,27,0,0,13,14,3,0,0,0
2629,1,4,22,5,3.6,6,5,3.6,6,4,2,23,19,17,20,18,9,14,12,1,13,0
2630,1,4,23,19,3.4,1,19,3.4,1,1,6,18,20,27,14,0,13,3,12,10,0,0
2631,1,0,27,26,3.1,4,26,3.1,4,5,3,25,19,23,0,0,5,8,12,0,0,0
2632,1,5,25,10,3.6,3,10,3.6,3,6,4,20,26,16,22,27,11,13,9,17,3,0
2633,1,3,37,28,3.4,2,28,3.4,2,2,5,26,15,18,21,0,13,14,5,3,0,0
2634,1,0,38,21,2.9,5,21,2.9,5,4,5,15,27,0,0,0,3,15,0,0,0,0
2635,1,3,38,39,3.1,1,39,3.1,1,4,2,26,22,19,0,0,3,7,14,0,0,0
2636,1,4,31,38,2.8,4,38,2.8,4,4,1,23,21,0,0,0,14,8,0,0,0,0
2637,1,2,29,10,3.6,6,10,3.6,6,2,1,27,16,23,18,20,9,11,2,7,10,0
2638,1,3,31,16,3.7,6,16,3.7,6,4,5,20,25,18,15,26,13,2,8,15,7,0
2639,1,1,37,15,3.2,2,15,3.2,2,5,6,23,27,19,15,0,13,5,10,8,0,0
2640,1,2,22,7,3.7,5,7,3.7,5,4,2,24,23,17,22,21,3,6,10,12,7,0
2641,1,0,29,12,3.6,2,12,3.6,2,1,2,14,20,23,25,27,3,4,10,11,14,0
2642,1,4,28,31,2.9,6,31,2.9,6,1,5,24,14,0,0,0,9,7,0,0,0,0
2643,1,0,24,35,2.8,5,35,2.8,5,2,6,17,27,0,0,0,17,16,0,0,0,0
2644,1,1,30,15,3.6,1,15,3.6,1,2,6,14,21,25,15,18,5,15,10,16,4,0
2645,1,3,24,28,3.2,2,28,3.2,2,2,5,21,23,18,0,0,14,15,4,0,0,0
2646,1,3,38,26,3.5,6,26,3.5,6,1,3,15,24,26,27,0,1,6,16,8,0,0
2647,1,4,35,20,3.2,4,20,3.2,4,2,1,14,17,20,19,0,10,12,17,2,0,0
2648,1,2,27,3,3.7,5,3,3.7,5,1,6,17,25,15,23,14,3,6,16,7,4,0
2649,1,3,38,27,3.2,5,27,3.2,5,6,1,21,26,22,19,0,1,7,15,11,0,0
2650,1,4,33,20,3.1,4,20,3.1,4,1,5,17,22,0,0,0,7,2,0,0,0,0
2651,1,1,29,16,3.7,4,16,3.7,4,3,4,21,22,15,27,26,1,13,17,11,14,0
2652,1,5,38,29,3.5,6,29,3.5,6,2,1,21,23,22,14,0,13,9,10,4,0,0
2653,1,2,25,24,3.4,1,24,3.4,1,2,3,20,24,16,22,0,11,6,14,5,0,0
2654,1,0,33,35,2.9,5,35,2.9,5,6,2,15,18,0,0,0,5,9,0,0,0,0
2655,1,3,35,45,3.1,2,45,3.1,2,5,1,27,26,0,0,0,15,7,0,0,0,0
2656,1,3,26,29,3.4,1,29,3.4,1,5,3,26,15,18,21,0,6,7,5,14,0,0
2657,1,5,33,10,3.7,2,10,3.7,2,2,4,14,26,19,25,20,11,15,4,16,10,0
2658,1,0,26,34,2.6,6,34,2.6,6,6,2,17,18,0,0,0,8,17,0,0,0,0
2659,1,4,24,8,3.7,1,8,3.7,1,3,2,25,23,21,22,26,15,6,12,4,5,0
2660,1,1,25,19,3.7,3,19,3.7,3,4,3,26,23,14,27,19,17,15,6,2,7,0
2661,1,2,28,33,3.3,1,33,3.3,1,2,3,23,22,16,0,0,2,7,12,0,0,0
2662,1,3,37,17,3.3,5,17,3.3,5,3,4,14,25,20,18,0,3,7,9,10,0,0
2663,1,3,31,19,3.5,1,19,3.5,1,5,4,15,27,26,14,0,2,5,16,1,0,0
2664,1,5,29,13,3.4,1,13,3.4,1,1,5,18,15,23,14,0,12,1,11,15,0,0
2665,1,5,31,18,3.3,3,18,3.3,3,5,1,19,20,26,24,0,4,1,2,12,0,0
2666,1,3,25,34,3.3,1,34,3.3,1,2,3,25,20,15,0,0,16,6,7,0,0,0
2667,1,0,37,21,3.4,4,21,3.4,4,4,2,23,21,27,17,0,1,7,15,6,0,0
2668,1,1,39,20,3,1,20,3,1,6,1,16,14,0,0,0,6,2,0,0,0,0
2669,1,4,34,42,2.7,2,42,2.7,2,2,4,25,22,0,0,0,6,4,0,0,0,0
2670,1,4,22,23,3.4,4,23,3.4,4,5,6,22,26,24,21,0,10,3,2,13,0,0
2671,1,2,24,11,3.6,3,11,3.6,3,2,1,25,16,18,20,22,7,12,5,3,8,0
2672,1,5,26,23,3.3,3,23,3.3,3,1,6,14,22,20,25,0,13,12,17,4,0,0
2673,1,2,23,26,3.1,4,26,3.1,4,6,1,20,15,16,0,0,13,10,8,0,0,0
2674,1,5,36,22,2.9,5,22,2.9,5,1,6,23,22,16,0,0,2,5,7,0,0,0
2675,1,5,26,20,3.5,3,20,3.5,3,2,5,26,14,27,21,0,9,15,1,5,0,0
2676,1,3,36,46,2.6,1,46,2.6,1,3,1,15,23,0,0,0,14,12,0,0,0,0
2677,1,3,36,36,3.3,6,36,3.3,6,6,1,21,18,16,0,0,4,16,11,0,0,0
2678,1,4,30,11,3.6,2,11,3.6,2,6,2,22,18,20,14,24,14,13,2,9,6,0
2679,1,0,36,20,3.1,1,20,3.1,1,4,1,18,19,16,0,0,15,12,3,0,0,0
2680,1,5,32,30,2.9,6,30,2.9,6,5,3,21,17,15,0,0,6,12,1,0,0,0
2681,1,1,28,4,3.7,2,4,3.7,2,3,1,17,21,16,14,24,11,13,9,17,2,0
2682,1,4,36,21,3.4,4,21,3.4,4,5,4,17,26,24,21,0,15,6,7,11,0,0
2683,1,3,37,34,3,1,34,3,1,1,3,25,23,15,0,0,7,5,16,0,0,0
2684,1,5,23,32,2.8,2,32,2.8,2,4,6,16,15,0,0,0,5,6,0,0,0,0
2685,1,2,22,25,3.2,2,25,3.2,2,5,1,19,18,21,0,0,13,5,12,0,0,0
2686,1,1,27,26,3.1,3,26,3.1,3,6,4,14,15,0,0,0,10,5,0,0,0,0
2687,1,3,29,34,2.9,3,34,2.9,3,3,6,23,25,18,0,0,9,2,12,0,0,0
2688,1,5,29,29,3.4,4,29,3.4,4,2,6,26,20,25,21,0,6,3,16,15,0,0
2689,1,3,37,29,3.4,5,29,3.4,5,5,4,19,26,17,27,0,2,8,14,3,0,0
2690,1,1,24,33,3.1,5,33,3.1,5,1,2,14,24,0,0,0,1,11,0,0,0,0
2691,1,1,25,22,2.7,1,22,2.7,1,4,3,24,22,0,0,0,12,10,0,0,0,0
2692,1,2,31,10,3.2,3,10,3.2,3,5,2,27,25,24,18,0,6,13,3,7,0,0
2693,1,0,34,13,3.7,4,13,3.7,4,3,5,23,26,19,15,18,17,3,10,8,4,0
2694,1,2,39,28,3.5,4,28,3.5,4,5,4,18,17,23,19,0,3,10,7,12,0,0
2695,1,0,33,22,2.9,5,22,2.9,5,5,6,19,24,14,0,0,4,2,1,0,0,0
2696,1,0,27,16,3.7,2,16,3.7,2,6,4,18,24,20,21,27,13,11,8,7,6,0
2697,1,2,30,23,2.8,6,23,2.8,6,2,4,16,20,0,0,0,8,11,0,0,0,0
2698,1,5,25,36,3.1,2,36,3.1,2,2,5,26,16,18,0,0,4,16,2,0,0,0
2699,1,4,28,16,3.4,4,16,3.4,4,6,4,19,27,26,25,0,2,4,17,7,0,0
2700,1,5,31,31,2.8,4,31,2.8,4,1,5,15,17,0,0,0,4,13,0,0,0,0
2701,1,4,31,38,3.1,6,38,3.1,6,4,6,20,14,17,0,0,10,4,11,0,0,0
2702,1,5,32,2,3.6,4,2,3.6,4,2,5,18,26,24,14,23,6,15,8,16,13,0
2703,1,0,30,16,3.6,1,16,3.6,1,4,1,19,17,20,21,23,2,14,8,13,5,0
2704,1,2,33,26,3.3,5,26,3.3,5,2,1,27,15,26,25,0,3,15,2,16,0,0
2705,1,5,34,14,3.4,6,14,3.4,6,5,2,17,15,24,21,0,5,9,13,11,0,0
2706,1,2,39,28,2.9,3,28,2.9,3,5,4,17,23,24,0,0,9,3,11,0,0,0
2707,1,3,37,19,3.7,2,19,3.7,2,4,2,15,22,17,19,23,1,15,5,17,7,0
2708,1,3,29,27,2.6,1,27,2.6,1,3,2,14,17,0,0,0,6,1,0,0,0,0
2709,1,2,34,33,2.9,3,33,2.9,3,4,5,27,16,26,0,0,11,1,3,0,0,0
2710,1,5,38,29,3.1,4,29,3.1,4,6,4,25,19,0,0,0,2,10,0,0,0,0
2711,1,4,29,6,3.7,5,6,3.7,5,2,1,15,25,16,26,21,8,4,6,11,13,0
2712,1,1,35,37,3.2,5,37,3.2,5,4,1,15,16,18,0,0,10,8,14,0,0,0
2713,1,4,28,16,3.5,6,16,3.5,6,3,1,26,27,17,21,0,5,11,1,3,0,0
2714,1,1,25,41,2.8,4,41,2.8,4,5,4,22,15,0,0,0,17,9,0,0,0,0
2715,1,1,26,31,2.7,3,31,2.7,3,1,6,17,15,0,0,0,12,16,0,0,0,0
2716,1,4,23,29,2.8,4,29,2.8,4,4,2,21,19,0,0,0,8,14,0,0,0,0
2717,1,5,39,32,3.2,6,32,3.2,6,6,4,23,26,24,0,0,3,7,14,0,0,0
2718,1,3,24,31,2.9,3,31,2.9,3,5,1,19,15,26,0,0,16,6,4,0,0,0
2719,1,0,23,28,2.9,1,28,2.9,1,2,5,16,19,0,0,0,8,16,0,0,0,0
2720,1,4,31,25,3.4,3,25,3.4,3,6,2,15,23,20,27,0,5,10,9,12,0,0
2721,1,2,37,25,3.2,6,25,3.2,6,1,3,14,21,27,0,0,9,16,3,0,0,0
2722,1,1,30,33,3,4,33,3,4,3,2,25,19,26,0,0,9,8,7,0,0,0
2723,1,2,36,23,3.3,3,23,3.3,3,5,6,15,14,17,20,0,13,3,4,9,0,0
2724,1,0,38,22,3.3,4,22,3.3,4,4,5,26,14,25,18,0,6,5,10,1,0,0
2725,1,1,37,14,3.3,4,14,3.3,4,5,4,14,27,25,26,0,5,2,3,6,0,0
2726,1,4,36,17,3.2,6,17,3.2,6,6,4,23,20,18,17,0,8,17,16,2,0,0
2727,1,2,36,46,2.7,3,46,2.7,3,4,1,19,21,0,0,0,14,3,0,0,0,0
2728,1,0,38,11,3.5,4,11,3.5,4,6,2,26,14,19,17,20,11,13,10,14,15,0
2729,1,2,24,35,3.3,2,35,3.3,2,4,1,19,26,14,0,0,1,16,6,0,0,0
2730,1,0,29,31,2.9,6,31,2.9,6,1,5,22,19,0,0,0,16,11,0,0,0,0
2731,1,3,22,40,2.9,5,40,2.9,5,4,6,15,20,0,0,0,6,8,0,0,0,0
2732,1,4,33,10,3.5,6,10,3.5,6,1,5,19,18,14,21,0,2,12,6,7,0,0
2733,1,2,23,15,3.5,4,15,3.5,4,1,6,14,22,21,15,0,8,3,2,9,0,0
2734,1,2,33,25,3.1,1,25,3.1,1,4,6,16,19,21,0,0,2,3,12,0,0,0
2735,1,4,22,46,3.1,1,46,3.1,1,1,3,15,14,0,0,0,8,5,0,0,0,0
2736,1,3,35,15,3.6,5,15,3.6,5,2,3,16,18,14,15,26,3,10,1,4,14,0
2737,1,2,38,16,3.5,1,16,3.5,1,4,2,14,17,19,26,0,1,8,6,13,0,0
2738,1,3,28,27,3,2,27,3,2,4,6,20,22,18,0,0,4,11,13,0,0,0
2739,1,5,30,27,3.3,6,27,3.3,6,5,2,20,18,21,0,0,13,12,14,0,0,0
2740,1,4,28,47,3.1,6,47,3.1,6,3,5,19,27,0,0,0,6,15,0,0,0,0
2741,1,3,32,30,2.9,4,30,2.9,4,2,6,17,21,23,0,0,14,5,6,0,0,0
2742,1,2,32,13,3.7,3,13,3.7,3,3,2,16,27,25,24,22,5,12,11,13,17,0
2743,1,1,28,29,3.3,5,29,3.3,5,2,6,15,19,20,0,0,14,5,13,0,0,0
2744,1,0,38,22,3.3,1,22,3.3,1,1,2,16,26,24,0,0,9,17,14,0,0,0
2745,1,0,22,39,2.9,6,39,2.9,6,4,2,23,25,0,0,0,8,11,0,0,0,0
2746,1,3,26,28,2.7,1,28,2.7,1,4,1,25,26,0,0,0,12,15,0,0,0,0
2747,1,2,33,33,2.9,6,33,2.9,6,6,5,15,18,20,0,0,2,6,10,0,0,0
2748,1,0,30,11,3.7,1,11,3.7,1,4,2,20,24,16,21,19,17,7,3,4,10,0
2749,1,5,27,30,3.3,3,30,3.3,3,2,5,22,14,19,0,0,9,17,2,0,0,0
2750,1,2,29,7,3.7,1,7,3.7,1,1,5,19,25,24,21,14,8,11,15,16,10,0
2751,1,5,30,14,3.6,6,14,3.6,6,3,4,14,19,16,15,18,15,14,17,13,6,0
2752,1,5,33,18,3.5,1,18,3.5,1,6,3,21,18,26,17,14,12,8,2,4,13,0
2753,1,0,26,30,3.3,4,30,3.3,4,3,2,14,19,18,0,0,15,10,1,0,0,0
2754,1,1,30,24,2.7,5,24,2.7,5,5,4,15,18,0,0,0,17,8,0,0,0,0
2755,1,2,33,35,2.7,4,35,2.7,4,3,2,22,27,0,0,0,16,7,0,0,0,0
2756,1,2,28,20,3.2,6,20,3.2,6,2,6,17,19,24,27,0,14,9,4,3,0,0
2757,1,5,34,23,3.4,3,23,3.4,3,6,5,23,25,17,20,0,12,8,17,7,0,0
2758,1,4,36,25,2.7,5,25,2.7,5,3,6,20,17,0,0,0,15,11,0,0,0,0
2759,1,4,33,17,3.5,3,17,3.5,3,5,1,14,20,15,24,19,17,9,8,4,7,0
2760,1,5,32,37,3,1,37,3,1,2,6,20,17,16,0,0,15,3,7,0,0,0
2761,1,5,27,41,2.9,5,41,2.9,5,2,4,23,26,0,0,0,5,11,0,0,0,0
2762,1,0,39,9,3.6,4,9,3.6,4,2,1,21,18,26,16,14,3,14,17,15,1,0
2763,1,1,35,10,3.4,4,10,3.4,4,4,6,18,25,24,14,0,12,13,7,8,0,0
2764,1,1,31,16,3.6,5,16,3.6,5,3,6,23,15,16,18,25,1,14,4,12,2,0
2765,1,0,26,33,2.8,3,33,2.8,3,5,6,17,15,0,0,0,4,9,0,0,0,0
2766,1,1,36,21,2.6,3,21,2.6,3,2,3,15,19,0,0,0,6,2,0,0,0,0
2767,1,5,22,33,3.3,2,33,3.3,2,1,3,27,24,20,0,0,17,10,6,0,0,0
2768,1,2,35,19,3.6,4,19,3.6,4,5,3,26,22,18,21,20,9,2,3,1,6,0
2769,1,4,23,21,3.2,4,21,3.2,4,5,4,14,24,20,18,0,6,2,9,3,0,0
2770,1,2,28,42,2.7,2,42,2.7,2,6,4,16,14,0,0,0,14,3,0,0,0,0
2771,1,1,39,34,3.1,1,34,3.1,1,2,3,22,27,26,0,0,16,15,2,0,0,0
2772,1,0,22,10,3.5,4,10,3.5,4,3,4,25,18,27,17,0,9,12,13,8,0,0
2773,1,4,22,27,3.1,3,27,3.1,3,6,5,21,14,0,0,0,6,11,0,0,0,0
2774,1,1,38,3,3.6,2,3,3.6,2,4,6,14,23,15,22,24,13,1,3,6,5,0
2775,1,1,35,35,2.9,2,35,2.9,2,5,6,20,14,22,0,0,11,15,14,0,0,0
2776,1,4,28,35,3.2,1,35,3.2,1,1,5,16,23,15,0,0,2,15,16,0,0,0
2777,1,1,30,19,3.3,4,19,3.3,4,5,4,20,16,23,18,0,13,11,2,5,0,0
2778,1,2,38,21,3.2,1,21,3.2,1,4,6,20,24,16,27,0,11,16,14,9,0,0
2779,1,1,34,23,2.8,5,23,2.8,5,5,3,16,23,0,0,0,17,11,0,0,0,0
2780,1,3,32,27,3.2,6,27,3.2,6,4,1,21,23,17,16,0,3,12,13,8,0,0
2781,1,1,29,42,2.6,4,42,2.6,4,5,4,27,15,0,0,0,14,16,0,0,0,0
2782,1,5,39,20,3.4,1,20,3.4,1,2,4,20,26,21,24,0,4,14,5,2,0,0
2783,1,3,30,13,3.6,3,13,3.6,3,5,2,25,22,26,27,14,17,5,8,1,12,0
2784,1,0,38,24,2.9,4,24,2.9,4,3,5,25,14,18,0,0,9,15,12,0,0,0
2785,1,5,33,32,3.3,2,32,3.3,2,2,5,15,23,16,0,0,13,2,9,0,0,0
2786,1,5,28,24,3.3,3,24,3.3,3,1,5,21,16,20,0,0,6,3,1,0,0,0
2787,1,2,37,37,3,6,37,3,6,4,6,22,20,18,0,0,4,15,7,0,0,0
2788,1,5,28,13,3.6,4,13,3.6,4,4,6,22,24,19,25,14,14,4,7,8,17,0
2789,1,1,23,5,3.7,1,5,3.7,1,3,5,26,18,27,19,17,17,10,16,4,5,0
2790,1,0,34,20,3.3,4,20,3.3,4,5,4,19,20,23,21,0,4,10,13,2,0,0
2791,1,3,28,10,3.4,4,10,3.4,4,5,6,14,16,27,25,0,13,4,14,17,0,0
2792,1,5,29,23,3.1,4,23,3.1,4,2,1,14,21,23,0,0,17,1,12,0,0,0
2793,1,3,34,28,2.7,5,28,2.7,5,3,6,20,14,0,0,0,15,3,0,0,0,0
2794,1,1,35,39,2.9,1,39,2.9,1,4,6,15,18,22,0,0,13,1,15,0,0,0
2795,1,2,23,25,3,1,25,3,1,6,5,18,19,24,0,0,17,9,3,0,0,0
2796,1,4,32,20,3.2,1,20,3.2,1,6,2,16,21,22,0,0,16,17,4,0,0,0
2797,1,2,26,43,2.6,6,43,2.6,6,6,3,25,27,0,0,0,1,6,0,0,0,0
2798,1,1,33,28,2.9,1,28,2.9,1,1,3,19,22,0,0,0,1,3,0,0,0,0
2799,1,1,38,27,3.2,3,27,3.2,3,3,6,27,15,14,17,0,7,15,12,14,0,0
2800,1,5,31,47,3,5,47,3,5,2,6,20,21,0,0,0,2,7,0,0,0,0
2801,1,5,36,22,3.3,1,22,3.3,1,6,4,16,19,17,25,0,4,1,5,14,0,0
2802,1,3,27,28,3.4,6,28,3.4,6,1,6,22,15,24,23,0,12,4,6,1,0,0
2803,1,3,26,19,3.6,2,19,3.6,2,1,2,21,20,23,25,27,11,14,8,3,12,0
2804,1,0,30,7,3.5,2,7,3.5,2,5,1,19,23,16,26,14,12,4,7,1,9,0
2805,1,2,23,26,3,4,26,3,4,5,6,23,25,24,0,0,10,8,4,0,0,0
2806,1,1,38,27,3.2,1,27,3.2,1,4,2,25,20,16,0,0,16,8,2,0,0,0
2807,1,3,28,42,2.9,5,42,2.9,5,4,3,26,27,0,0,0,6,5,0,0,0,0
2808,1,4,33,15,3.2,2,15,3.2,2,4,1,18,16,25,24,0,2,7,14,9,0,0
2809,1,4,35,9,3.7,6,9,3.7,6,1,4,19,26,17,18,23,3,1,11,8,9,0
2810,1,2,22,14,3.4,4,14,3.4,4,4,2,21,16,27,23,0,6,16,10,17,0,0
2811,1,2,25,5,3.7,6,5,3.7,6,6,2,18,21,27,16,19,4,1,3,12,14,0
2812,1,1,30,42,2.6,5,42,2.6,5,4,5,23,15,0,0,0,10,17,0,0,0,0
2813,1,4,27,23,3.1,5,23,3.1,5,2,6,18,25,17,0,0,12,17,3,0,0,0
2814,1,0,25,28,3.1,6,28,3.1,6,4,3,20,23,18,0,0,2,12,11,0,0,0
2815,1,5,31,15,3.3,3,15,3.3,3,2,6,24,26,20,18,0,8,17,10,5,0,0
2816,1,0,36,34,3.1,4,34,3.1,4,2,3,18,21,23,0,0,1,8,15,0,0,0
2817,1,3,39,23,3.5,3,23,3.5,3,4,2,16,23,21,17,0,7,8,16,5,0,0
2818,1,2,27,39,3.1,4,39,3.1,4,5,4,16,19,14,0,0,5,12,16,0,0,0
2819,1,3,39,19,3.3,5,19,3.3,5,2,3,16,18,20,23,0,5,11,15,9,0,0
2820,1,5,23,21,2.9,3,21,2.9,3,4,5,17,22,27,0,0,11,5,2,0,0,0
2821,1,3,27,4,3.5,2,4,3.5,2,3,6,24,21,20,26,25,13,1,10,5,4,0
2822,1,2,27,15,3.7,4,15,3.7,4,1,4,21,17,25,18,15,12,9,11,15,4,0
2823,1,0,25,39,3,1,39,3,1,4,5,27,19,17,0,0,16,1,2,0,0,0
2824,1,2,22,26,3.2,3,26,3.2,3,3,1,14,23,21,25,0,7,6,11,16,0,0
2825,1,0,28,21,3.3,3,21,3.3,3,1,3,25,24,16,21,0,2,3,11,12,0,0
2826,1,0,25,39,2.8,1,39,2.8,1,2,4,15,24,0,0,0,5,12,0,0,0,0
2827,1,4,39,17,3.6,3,17,3.6,3,6,2,14,25,20,17,23,11,9,4,16,17,0
2828,1,3,27,32,2.9,4,32,2.9,4,2,1,27,20,0,0,0,4,1,0,0,0,0
2829,1,5,30,16,3.4,4,16,3.4,4,6,4,18,27,17,15,0,5,7,14,8,0,0
2830,1,1,29,27,2.6,6,27,2.6,6,3,5,22,23,0,0,0,13,2,0,0,0,0
2831,1,3,36,33,3.1,1,33,3.1,1,5,2,26,24,15,0,0,17,13,7,0,0,0
2832,1,5,22,24,3.3,4,24,3.3,4,1,5,16,18,24,15,0,17,3,16,1,0,0
2833,1,3,34,2,3.5,5,2,3.5,5,5,2,16,23,26,18,21,2,6,1,11,17,0
2834,1,5,37,37,3,4,37,3,4,1,6,26,25,27,0,0,9,13,5,0,0,0
2835,1,1,38,34,3.3,5,34,3.3,5,4,5,23,21,19,0,0,3,8,1,0,0,0
2836,1,4,27,21,3.3,2,21,3.3,2,2,3,26,27,24,25,0,10,6,17,2,0,0
2837,1,3,31,38,2.9,1,38,2.9,1,6,5,24,21,0,0,0,4,5,0,0,0,0
2838,1,5,22,24,3.4,2,24,3.4,2,1,4,20,17,16,24,0,12,10,6,13,0,0
2839,1,0,37,19,3.7,1,19,3.7,1,2,3,23,27,17,16,26,14,13,16,9,5,0
2840,1,5,38,33,3.1,6,33,3.1,6,4,6,15,17,0,0,0,10,1,0,0,0,0
2841,1,2,27,24,3.3,3,24,3.3,3,4,3,23,24,16,17,0,12,13,11,15,0,0
2842,1,2,33,21,2.9,4,21,2.9,4,3,2,15,16,20,0,0,16,14,15,0,0,0
2843,1,3,34,18,3.7,5,18,3.7,5,1,2,26,23,14,17,25,14,7,6,11,12,0
2844,1,1,28,18,3.6,6,18,3.6,6,1,4,26,27,14,21,24,15,5,3,9,4,0
2845,1,2,30,37,2.9,4,37,2.9,4,2,6,15,19,24,0,0,14,17,5,0,0,0
2846,1,2,22,28,2.9,1,28,2.9,1,3,2,25,16,24,0,0,13,4,1,0,0,0
2847,1,2,29,39,2.6,4,39,2.6,4,2,1,26,22,0,0,0,16,15,0,0,0,0
2848,1,3,29,37,3.1,4,37,3.1,4,2,4,21,15,0,0,0,11,12,0,0,0,0
2849,1,0,37,2,3.7,3,2,3.7,3,3,1,23,24,22,26,20,5,14,11,3,17,0
2850,1,5,25,28,3.2,4,28,3.2,4,4,2,24,21,14,17,0,3,12,16,5,0,0
2851,1,2,24,9,3.6,1,9,3.6,1,2,6,20,15,17,19,21,9,7,1,8,3,0
2852,1,3,28,29,3.4,3,29,3.4,3,3,2,24,18,15,21,0,11,12,15,5,0,0
2853,1,5,25,24,2.6,2,24,2.6,2,6,4,18,24,0,0,0,3,6,0,0,0,0
2854,1,2,28,43,3,6,43,3,6,4,5,14,18,0,0,0,14,17,0,0,0,0
2855,1,4,22,33,3,5,33,3,5,5,3,22,20,0,0,0,15,16,0,0,0,0
2856,1,3,39,10,3.5,5,10,3.5,5,2,5,19,26,14,23,0,4,15,16,14,0,0
2857,1,1,23,17,3.4,2,17,3.4,2,1,6,15,20,23,19,0,7,17,12,8,0,0
2858,1,2,34,15,3.2,4,15,3.2,4,2,4,21,24,20,16,0,15,11,9,1,0,0
2859,1,2,29,8,3.7,6,8,3.7,6,5,1,18,16,14,23,26,15,10,11,3,13,0
2860,1,3,35,7,3.6,4,7,3.6,4,4,2,25,19,26,20,27,14,16,15,4,13,0
2861,1,0,32,25,3.2,6,25,3.2,6,4,6,22,16,25,0,0,9,16,1,0,0,0
2862,1,3,32,26,3.2,5,26,3.2,5,6,5,15,20,27,0,0,9,3,11,0,0,0
2863,1,1,39,3,3.7,4,3,3.7,4,5,4,18,23,17,20,15,6,15,3,4,11,0
2864,1,4,29,13,3.3,3,13,3.3,3,1,4,18,17,16,23,0,1,17,2,4,0,0
2865,1,3,23,48,2.6,4,48,2.6,4,6,2,23,21,0,0,0,17,3,0,0,0,0
2866,1,1,30,16,3.3,5,16,3.3,5,5,2,24,20,19,17,0,7,11,15,13,0,0
2867,1,5,24,25,2.9,2,25,2.9,2,4,6,23,20,15,0,0,4,1,3,0,0,0
2868,1,0,30,11,3.3,2,11,3.3,2,2,6,17,26,16,23,0,1,12,6,4,0,0
2869,1,5,38,31,3.3,1,31,3.3,1,2,6,21,27,26,0,0,5,7,12,0,0,0
2870,1,1,38,26,3,1,26,3,1,6,4,14,24,15,0,0,14,11,2,0,0,0
2871,1,3,24,26,3.5,3,26,3.5,3,4,3,25,26,18,15,0,17,6,8,15,0,0
2872,1,2,35,27,3.2,5,27,3.2,5,5,3,22,20,21,14,0,1,12,16,10,0,0
2873,1,4,27,6,3.5,3,6,3.5,3,4,1,15,17,14,24,20,16,12,13,5,8,0
2874,1,0,34,37,2.6,5,37,2.6,5,2,1,18,26,0,0,0,8,4,0,0,0,0
2875,1,3,35,13,3.5,1,13,3.5,1,2,4,18,27,21,16,0,17,8,6,3,0,0
2876,1,4,25,35,3.1,4,35,3.1,4,2,3,21,25,0,0,0,17,10,0,0,0,0
2877,1,2,33,20,3.5,2,20,3.5,2,3,4,19,22,15,16,0,11,16,3,1,0,0
2878,1,3,36,21,2.9,3,21,2.9,3,4,1,20,18,25,0,0,4,17,10,0,0,0
2879,1,4,23,15,3.2,5,15,3.2,5,1,5,25,22,20,17,0,4,17,14,10,0,0
2880,1,0,32,2,3.7,5,2,3.7,5,6,1,25,16,24,22,18,12,17,4,16,11,0
2881,1,1,38,10,3.5,5,10,3.5,5,6,3,22,19,24,23,20,9,10,1,4,7,0
2882,1,1,24,23,3.4,5,23,3.4,5,4,5,20,25,18,27,0,12,14,11,4,0,0
2883,1,3,23,44,2.7,4,44,2.7,4,4,2,22,19,0,0,0,16,8,0,0,0,0
2884,1,2,34,47,2.8,1,47,2.8,1,3,6,15,16,0,0,0,12,2,0,0,0,0
2885,1,0,32,10,3.5,5,10,3.5,5,1,5,22,16,21,25,15,16,4,15,2,11,0
2886,1,1,22,23,3.5,4,23,3.5,4,1,4,19,20,21,26,0,13,1,5,16,0,0
